author,category,description,infos,origin,pan_1,pan_2,pan_3,pan_pass,pic,rating,title
请参考图书详情,投资理财,"
“当所有人想得都一样时，可能每个人都错了。”根据汉弗莱·b·尼尔的思想，上面引用的这段话揭示了一项重要因素，正是这项因素潜在地驱动着经济繁荣和萧条的更替，困扰着我们的文明。密西西比的地产泡沫、荷兰令人难以置信的郁金香球茎狂潮；1929年纽约股市的崩溃，都是灾难性的历史教训，这些灾难的发生无不经由众心理的作用而扩大、加速。也有正好相反的例子，在紧随第二次世界大战之后的几年中，到处流行经济即将进入衰退的预言，然而，实际情况恰恰相反，真正到来的是商业的繁荣，而不是衰退。不管谁，只要熟知逆向思考方法——尼尔相反意见理论的具体应用，对于上述事件发生的原委就不会感到困惑了。这一理论最初发端于一人的独立工作，他努力探求揭开经济趋势谜底的途径，如今，不论从应用范围上，还是从其重要性上来看，这项理论都已经有了巨大发展。《相反意见理论通讯》的订户已经领略到如何将相反意见理论应用于商业趋势以外的领域。在《逆向思考的艺术》一书中，您将发现下面这个问题的答案，那些忙于生意的人士和有影响的人士越来越多的提出这个问题：相反意见理论——什么意思？对我有什么用处？","原价：15.00元
作者：[美]汉弗莱·B·尼尔 [译]丁圣元
出版社：海南出版社
出版日期：2001-04-01
ISBN：9787806459492
字数：-
页数：229
版次：1
开本：16开",http://www.pdfbook.cn/01/10271.html,城通网盘##https://t00y.com/file/1163421-400741419,,,,http://www.pdfbook.cn/wp-content/uploads/2019/10/080.jpg,,逆向思考的艺术 股票市场致胜之道
请参考图书详情,传记,"
虽然查理・芒格的图片已经刊登在《财富》这样著名杂志的封面，而且他在几家报纸上也露过面，但对这位被人们认为是投资巨头沃伦・巴菲特的“幕后智囊”的人写得却很少――直到现在。","原价：24.80元
作者：[美]珍妮特·洛尔 [译]张戎 赵平莉
出版社：海南出版社
出版日期：2003-06-01
ISBN：9787544307574
字数：250000
页数：355
版次：1
开本：16开",http://www.pdfbook.cn/07/10277.html,城通网盘##https://t00y.com/file/1163421-290931457,,,,http://www.pdfbook.cn/wp-content/uploads/2019/10/082.jpg,,站在沃伦·巴菲特身后的亿万富翁 查理·芒格传
请参考图书详情,建筑,"
《我的建筑十年：设计感悟与思考》是一本青年建筑师介绍自己成长历程的书。这本书独树一帜，它的与众不同在于切入点并非设计的成果，而是注重设计过程中的经验教训的分析和创作心路历程的再现。而这些，恰恰就是王珣成功的秘诀。这本书最大的价值，在于能为新生代建筑师们提供借鉴，让他们更快地成长进步，去获取成功。","原价：69.00元
作者：[中]王珣
出版社：中国建筑工业出版社
出版日期：2012-01-01
ISBN：9787112138326
字数：292000
页数：180
版次：1
开本：16开",http://www.pdfbook.cn/06/10282.html,城通网盘##https://t00y.com/file/1163421-222869865,,,,http://www.pdfbook.cn/wp-content/uploads/2019/10/083.jpg,,我的建筑十年 设计感悟与思考
请参考图书详情,散文随笔,"
《我们仨》主要内容包括：我们俩老了、我们仨失散了、走上古驿道、古驿道上相聚、古驿道上相失、我一个人思念我们仨。","原价：28.00元
作者：[中]杨绛
出版社：生活·读书·新知三联书店
出版日期：2018-06-01
ISBN：9787108063106
字数：90000
页数：165
版次：1
开本：16开",http://www.pdfbook.cn/04/10274.html,城通网盘##https://t00y.com/file/1163421-400741724,,,,http://www.pdfbook.cn/wp-content/uploads/2019/10/081.jpg,,我们仨
请参考图书详情,电子商务,"
本书汇聚了33位互联网营销超级明星的聪明才智，为读者揭示如何只借助电子邮件的威力，就能实现网络致富。每一章节都言简意赅，各介绍一种赚取财富的策略或观念，并就如何实施这些策略方法提供详尽指导，以帮助读者获取最大利润。","原价：39.00元
作者：[美]维塔尔 [译]季林
出版社：企业管理出版社
出版日期：2007-02-01
ISBN：9787801976192
字数：250000
页数：263
版次：1
开本：16开",http://www.pdfbook.cn/22/10285.html,城通网盘##https://t00y.com/file/1163421-222869067,,,,http://www.pdfbook.cn/wp-content/uploads/2019/10/084.jpg,,互联网直销 零成本的E-mail法则
请参考图书详情,励志成功,"
欧洲第一理财教练博多·舍费尔自身经历颇多。14岁时失去父亲；16岁时只身远赴美国闯荡，历经坎坷；大学毕业后，在多家公司担任过各种重要职务；26岁时陷入了严重的债务危机。这时，他遇到了一位伟大的导师，导师教给了他成功的基本法则。凭借导师传授的法则，只用了4年，博多就摆脱了债务，实现了财务自由。","原价：39.00元
作者：[德]博多·舍费尔 [译]刘立新
出版社：南海出版社
出版日期：2010-08-01
ISBN：9787544248365
字数：173000
页数：293
版次：1
开本：16开",http://www.pdfbook.cn/05/10288.html,城通网盘##https://t00y.com/file/1163421-222868774,,,,http://www.pdfbook.cn/wp-content/uploads/2019/10/085.jpg,,赢家法则
请参考图书详情,烹饪美食与酒,本书初从辣椒入手，教人“识得辣滋味”；接下来一一叙述“姜是兄弟”、“川菜中不能忽略之葱”、“大蒜影响的口气和态度”、“川菜中的清凉世界”、“一碟功夫”、“韭菜当春为君香”、“简单的回锅肉”、“牛肉加萝卜等于美食主义”……,"原价：38.00元
作者：[中]石光华
出版社：陕西师范大学出版社
出版日期：2004-01-01
ISBN：9787561327760
字数：-
页数：229
版次：-
开本：-",http://www.pdfbook.cn/19/10235.html,城通网盘##https://t00y.com/file/1163421-222865906,,,,http://www.pdfbook.cn/wp-content/uploads/2019/10/069.jpg,,我的川菜生活
请参考图书详情,投资理财,"点击下载：
《沃尔特·施洛斯文集》(PDF扫描版/34.08M)","
",http://www.pdfbook.cn/01/10182.html,,,,,http://www.pdfbook.cn/wp-content/uploads/2019/06/055.jpg,,沃尔特·施洛斯文集
请参考图书详情,投资理财,"
这本是我真正系统性的全面论述价值投资的体系。关于投资的一切，不会超出此书范畴。所以我要此书封面写道“悟尽投资圣道，传承万世财富”，这就是此书的主题。不了解我的人，或许会认为我很张狂，竟敢狂言悟尽了投资的一切本质。但事实却刚刚相反，越是本质的东西，越是简单，只是人们不愿意相信罢了。","原价：00.00元
作者：[中]关善详(U兄-万亿之路)
出版社：中国博学出版社
出版日期：2017年7月1日
ISBN：9789888475513
字数：-
页数：239
版次：-
开本：-",http://www.pdfbook.cn/01/10146.html,城通网盘##https://stockbook.ctfile.com/fs/1163421-290892624,,,,http://www.pdfbook.cn/wp-content/uploads/2018/05/051.jpg,,传世书 投资传世十圣道
请参考图书详情,经济管理,现代世界的复杂性已经超出了人力所能控制的范围，任何一个需要从业人员掌控大量知识的领域都难逃厄运。从医疗到金融，从商业到行政，生活中的错误屡屡发生，令人触目惊心。,"原价：49.90元
作者：[美]阿图·葛文德 [译]王佳艺
出版社：浙江人民出版社
出版日期：2012-07-01
ISBN：9787213049064
字数：-
页数：240
版次：1
开本：16开",http://www.pdfbook.cn/02/10194.html,城通网盘##https://t00y.com/file/1163421-336848559,,,,http://www.pdfbook.cn/wp-content/uploads/2019/10/056.jpg,,清单革命
请参考图书详情,投资理财,"
《财富》评选的75本商务人士必读书之一。股市的大起大落只发生在须臾之间，借鉴塔勒布的操作手法（这也是不少操盘手正在做的），您将能避免风险，并在黑天鹅出现时大赚一笔。说股票交易者应该人手一册本书绝对不过分。","原价：32.00元
作者：[美]塔勒布 [译]盛逢时
出版社：中信出版社
出版日期：2007-01-01
ISBN：9787508607801
字数：117000
页数：218
版次：1
开本：16开",http://www.pdfbook.cn/01/10197.html,城通网盘##https://t00y.com/file/1163421-336848727,,,,http://www.pdfbook.cn/wp-content/uploads/2019/10/057.jpg,,随机致富的傻瓜
请参考图书详情,传记,"
1920年8月，年轻的瑜伽行者尤迦南达踏上了斯巴特城号，开始了长达30余年的西方之旅。自此，来自东方的古老智慧、探索人类生命奥秘的克利亚瑜伽将照亮整个西方；解救无数迷茫的心灵。","原价：28.00元
作者：[印]尤迦南达 [译]王嘉达
出版社：北京紫图图书有限公司
出版日期：2006-01-01
ISBN：9787561328958
字数：110000
页数：-
版次：1
开本：16开",http://www.pdfbook.cn/07/10200.html,城通网盘##https://t00y.com/file/1163421-336782293,,,,http://www.pdfbook.cn/wp-content/uploads/2019/10/058.jpg,,一个瑜伽行者的自传
请参考图书详情,家居休闲,"
不持有的享乐生活，超过自己管理能力的物品，不持有；不钟爱的物品，不持有；无法回收利用或转送给他人的物品，不持有；不适合自己、与自己的生活方式不相符的物品，不持有。","原价：29.00元
作者：[日]金子由纪子 [译]燕子
出版社：山东人民出版社
出版日期：2009-09-01
ISBN：9787209049467
字数：-
页数：191
版次：1
开本：32开",http://www.pdfbook.cn/16/10203.html,城通网盘##https://t00y.com/file/1163421-336654252,,,,http://www.pdfbook.cn/wp-content/uploads/2019/10/059.jpg,,不持有的生活
请参考图书详情,投资理财,《手把手教你读财报》是一位久经沙场的老股民，在经历了无数次惨烈的投资战役之后，总结过往得失，呕心沥血而作。,"原价：49.00元
作者：[中]唐朝
出版社：中国经济出版社
出版日期：2015-01-01
ISBN：9787513636124
字数：210000
页数：276
版次：1
开本：16开",http://www.pdfbook.cn/01/10206.html,城通网盘##https://t00y.com/file/1163421-336653847,,,,http://www.pdfbook.cn/wp-content/uploads/2019/10/060.jpg,,手把手教你读财报
请参考图书详情,科学与自然,"
用数学的语言看世界为知名理论物理学家大栗博司先生写给女儿的数学启蒙书，书中以用“数学语言”解读自然为线索，突破传统数学教育的顺序和教学方式，用历史事件、生动故事以及比喻直接讲解数学核心概念的原理与相关体系，并且讲解了把数学作为一门“语言”、用数学探索自然不可见结构的思维方式，是重新认识和理解数学的科普佳作。","原价：46.00元
作者：[日]大粟博司 [译]尤斌斌
出版社：人民邮电出版社
出版日期：2017-04-01
ISBN：9787115449597
字数：-
页数：239
版次：1
开本：大32开",http://www.pdfbook.cn/31/10211.html,城通网盘##https://t00y.com/file/1163421-336652437,,,,http://www.pdfbook.cn/wp-content/uploads/2019/10/061.jpg,,用数学的语言看世界
请参考图书详情,投资理财,"
《缠中说禅：教你炒股票（配图校注版）》是缠论系列图书中的一种，以缠中说禅在新浪博客发表的“教你炒股票”系列文章为底本精心整理而成。该系列文章以几何方法和完全分类法解析股价运行轨迹，以分型、笔、线段、走势中枢等方法对走势进行分类，以走势中枢和区间套考察不同级别买卖点，以力度背驰和形态确认股价转折，形成一套不同于道氏理论、波浪理论的证券分析理论体系。本次整理出版该书，目的是为广大缠论爱好者、研究者提供一个比较完善的范本，使广大读者更易于准确地把握和理解缠中说禅的股市交易思想。","原价：48.00元
作者：[中]缠中说禅 [整理]培峰
出版社：中国宇航出版社
出版日期：2015-01-01
ISBN：9787515908847
字数：539000
页数：428
版次：1
开本：16开",http://www.pdfbook.cn/01/10214.html,城通网盘##https://t00y.com/file/1163421-336191520,,,,http://www.pdfbook.cn/wp-content/uploads/2019/10/062.jpg,,缠中说禅 教你炒股票（配图校注版）
请参考图书详情,管理学,"
管理类经典图书
被《福布斯》评为20世纪最具影响的20本商业图书之一
“全球商业书籍奖”获奖图书
“颠覆大师”克莱顿•克里斯坦森经典力作。
《金融时报》/布兹•亚兰及汉密顿全球商务书刊颁发“1997年最佳商务书”奖
“1997年最佳商务‘实用’书”奖","原价：55.00元
作者：[美]克莱顿·克里斯坦森 [译]胡建桥
出版社：中信出版社
出版日期：2010-06-01
ISBN：9787508618739
字数：210000
页数：227
版次：1
开本：16开",http://www.pdfbook.cn/02/10217.html,城通网盘##https://t00y.com/file/1163421-400479349,,,,http://www.pdfbook.cn/wp-content/uploads/2019/10/063.jpg,,创新者的窘境
请参考图书详情,应用心理学,"
本书以作者的集中营经历为本，揭示人类生命的动力在于寻出意义；人只要参透为何而活，即能承受任何煎熬；而无论处境如何，亦皆有自由抉择的余地。本书深入浅出，但振聋发聩人人可读。自出版迄今，轰动全球，堪称为研究人类心理学与精神不可不读的一本经典之作。","原价：2.70元
作者：[德]维克多·弗兰克 [译]赵可式 沈锦惠
出版社：生活·读书·新知三联书店
出版日期：1991-12-01
ISBN：9787108003836
字数：87000
页数：142
版次：1
开本：32开",http://www.pdfbook.cn/25/10223.html,城通网盘##https://t00y.com/file/1163421-400571510,,,,http://www.pdfbook.cn/wp-content/uploads/2019/10/065.jpg,,活出意义来
请参考图书详情,投资理财,"
本是《钱经》杂志专栏作家天南先生在杂志发表的小品文合集。作为一个投资家，作者用生动的生活事例将投资的原理和个人投资理念娓娓道来，剖析了大众对于投资的认识误区，并将尽早树立理财意识的观念深深地根植在字里行间。","原价：36.00元
作者：[中]杨天南
出版社：中国金融出版社
出版日期：2013-01-01
ISBN：9787504966704
字数：198000
页数：244
版次：1
开本：16开",http://www.pdfbook.cn/01/10220.html,城通网盘##https://t00y.com/file/1163421-222863151,,,,http://www.pdfbook.cn/wp-content/uploads/2019/10/064.jpg,,规划财富人生 天南话投资
请参考图书详情,艺术与摄影,"
本书收录了国际 平面设计师、书籍设计家杉浦康平，与来自中国、韩国、印度六位 设计师——吕敬人、黄永松、安尚秀、郑炳圭、R.K.乔希（R.K.Joshi）、柯蒂·特里维迪（Kirti Trivedi），就亚洲的书籍、文字、设计所进行的对谈。所讲述的不是书籍装祯设计中的具体技术问题，而是以东方文化为基础，通过对各国文化与书籍、设计的关系的探讨，阐释他们对东方文化的理解与运用。","原价：83.07元
作者：[日]杉浦康平 [译]马健全
出版社：生活·读书·新知三联书店
出版日期：2016-02-01
ISBN：9787108055330
字数：190000
页数：356
版次：2
开本：32开",http://www.pdfbook.cn/06/10226.html,城通网盘##https://t00y.com/file/1163421-221889223,,,,http://www.pdfbook.cn/wp-content/uploads/2019/10/066.jpg,,亚洲的书籍、文字与设计
请参考图书详情,科学与自然,"
自古以来，“宇宙”就意味着“所有的东西”。但在《科学新经典文丛：隐藏的现实·平行宇宙是什么》中，超级畅销书作家格林将以他那招牌式的睿智和幽默告诉你，我们的宇宙可能并非仅有的宇宙，他会带你游历梦幻般的各种平行宇宙。他将告诉你，我们的宇宙不过是无数平行宇宙中的一个，这些平行宇宙的图景更是匪夷所思：百衲被多重宇宙、暴胀的多重宇宙、弦的多重宇宙、量子多重宇宙、全息多重宇宙、虚拟多重宇宙和最终多重宇宙。即使你对世界的认识不因《科学新经典文丛：隐藏的现实·平行宇宙是什么》而颠覆，你的视野也会因此极大地拓展。","原价：55.00元
作者：[美]B.格林 [译]李剑龙(等)
出版社：人民邮电出版社
出版日期：2013-08-01
ISBN：9787115319074
字数：366000
页数：463
版次：1
开本：32开",http://www.pdfbook.cn/31/10229.html,城通网盘##https://t00y.com/file/1163421-221889755,,,,http://www.pdfbook.cn/wp-content/uploads/2019/10/067.jpg,,隐藏的现实 平行宇宙是什么
请参考图书详情,教育,"
MIT和哈佛毕业的高材生缘何放弃金融分析师工作投身教育事业？YouTube上的“可汗学院频道”至今共吸引了163.3万订阅者，观看次数超过3.55亿次，它为什么如此大受欢迎？创始人萨尔曼·可汗阐述属于未来的教育理念——让地球上的任何人都能随时随地享受世界一流的免费教育！","原价：49.90元
作者：[美]萨尔曼·可汗 [译]刘婧
出版社：浙江人民出版社
出版日期：2014-06-01
ISBN：9787213060489
字数：174000
页数：200
版次：1
开本：16开",http://www.pdfbook.cn/23/10232.html,城通网盘##https://t00y.com/file/1163421-222861904,,,,http://www.pdfbook.cn/wp-content/uploads/2019/10/068.jpg,,翻转课堂的可汗学院 互联时代的教育革命
请参考图书详情,传记,"
《生命的不可思议》一书是胡因梦历经半生的探索与跌跌撞撞，亲笔撰写的自传。她以观照的言语，赤裸裸地掀开了自我成长的历程。随着书中细密、点滴的叙述，会发现作者很深刻且很有勇气的正视自己，是一部检视自我，呈现人性丰富内在的“心灵地图”。","原价：28.00元
作者：[中]胡因梦
出版社：东方出版中心
出版日期：2006年8月1日
ISBN：9787801865052
字数：-
页数：255
版次：1
开本：16开",http://www.pdfbook.cn/07/10132.html,城通网盘##https://stockbook.ctfile.com/fs/1163421-227590453,,,,http://www.pdfbook.cn/wp-content/uploads/2017/11/047.jpg,,生命的不可思议 胡因梦自传
请参考图书详情,励志成功,"
“速读法”，过去在日本也曾存在过，但它仅用于特殊领域的研究和训练。而且，所谓“快速阅读”的方法，是在如何有效读书的构想指导下开发出来的。譬如：追索标题、文章的结构；动员想象力阅读；搜寻文章的关键词语阅读；只选取可能会导出结论的内容阅读；在重要之处划线阅读，等等。除此之外，还可列举出许许多多，但我可以肯定地说，这类东西无一不是所谓普通阅读法的“秘诀”。","原价：1.90元
作者：[日]加古德次 [译]王彦良 陈俊杰
出版社：新华出版社
出版日期：1989年9月1日
ISBN：9787501104581
字数：-
页数：144
版次：1
开本：小32开",http://www.pdfbook.cn/05/10067.html,城通网盘##https://stockbook.ctfile.com/fs/1163421-215199043,,,,http://www.pdfbook.cn/wp-content/uploads/2017/09/013.jpg,,神奇速读记忆法
请参考图书详情,军事,"
本书内容丰富，史料翔实，文笔生动，比较系统地描述了自十六世纪以来日本情报事业的发展道路，栩栩如生地介绍了日本间谍不少成功和失败的实例，令人从中可以汲取不少经验和教训。书中搜集了大量正史上难以找到或当时不便披露的机密材料，其中有许多都是首次公开的内幕情况，读来使人慷诧不已。正如本书英文本的编辑所介绍的那样：“作者在这里向我们揭示了大量超级机密档案，比如您是否知道，当俄国的十月革命正在如火如荼之时，日本的情报专家们曾有过一个拯救沙皇出俄国的计划？您是否知道，他们在1934年曾制定过一个秘密计划，根据这个计划日本人要把在德国和俄国的数万名犹太人安置到’满洲’……另外，卓别林的贴身仆人曾是美国海军某基地情报网上的一个特务等等。”","原价：3.30元
作者：[英]理查德·迪肯 [译]王殿忠
出版社：军事科学出版社
出版日期：1989年10月1日
ISBN：7800212270/K·010
字数：149000
页数：212
版次：1
开本：32开",http://www.pdfbook.cn/29/10070.html,城通网盘##https://stockbook.ctfile.com/fs/1163421-218679819,,,,http://www.pdfbook.cn/wp-content/uploads/2017/09/014.jpg,,间谍秘史 日本间谍惊人成功的奥秘
请参考图书详情,经济管理,"
一个电气化的伟大梦想，一部发电交错的恢弘史诗，三位点亮世界的电力巨人。这本书详细描述并高度概括了三位开创、生产和输送电的先驱者。没有这三位伟大的发明家，世界将不会是我们现在知道的这样。","原价：39.80元
作者：[美]吉尔·琼斯 [译]吴敏
出版社：中信出版社
出版日期：2006年1月1日
ISBN：9787508604916
字数：-
页数：313
版次：-
开本：-",http://www.pdfbook.cn/02/10075.html,城通网盘##https://stockbook.ctfile.com/fs/1163421-218679890,,,,http://www.pdfbook.cn/wp-content/uploads/2017/09/015.jpg,,光电帝国 电力发展史上的巨人和他们的战争
请参考图书详情,建筑,"
《建筑师文萃：建筑的涵意》封面故事为：文艺复兴建筑师帕拉迪奥（Andrea Palladio）在历史传承的驱策之下，设计出一件令人赞叹的建筑作品。他在威尼斯外海一座岛上的圣乔治教堂（San Gcorge Maggiorc）中，除了运用四根巨型古希腊柱式（giant order），将教堂中央的部分，以象征希腊神庙的方式强调出来，另外也保留两侧较矮的冀廊，来影射古罗马公共会堂（Bacilica）的形式；教堂本身也运用了许多文艺复兴特有的开窗形式和装饰。当人们从威尼斯本岛乘船向这座教堂缓缓驶去时，不同的视觉集点，一再地唤醒我们对古希腊、古罗马、中世纪和文艺复兴的记忆。航向教堂的整个路程，便象征着穿越整个建筑历史的时光隧道。","原价：25.00元
作者：刘育东
出版社：百花文艺出版社
出版日期：2006年1月1日
ISBN：9787530643877
字数：-
页数：210
版次：1
开本：16开",http://www.pdfbook.cn/06/10079.html,城通网盘##https://stockbook.ctfile.com/fs/1163421-218722496,,,,http://www.pdfbook.cn/wp-content/uploads/2017/09/018.jpg,,建筑的涵意
请参考图书详情,教育,"
《如何阅读一本书》——70余年历久弥新的阅读经典，教你如何阅读的方法、技巧，阅读所应具备的广阔视野的全球畅销书！读书的责任就是要找出书的骨架。这句话就像这本书一样经典。抛开一切旁枝末节，直接取主干，一本书出现在你面前时，肌肉包着骨头，衣服包裹着肌肉，可说是盛装而来。你用不着揭开它的外衣或是撕去它的肌肉，才能得到在柔软表皮下的那套骨架。但是你一定要用一双X光般的透视眼来看这本书，因为那是你了解一本书、掌握其骨架的基础。","原价：46.00元
作者：[美]莫提默·J.艾德勒，查尔斯·范多伦 [译[郝明
出版社：商务印书馆有限公司
出版日期：2004年1月1日
ISBN：9787100040945
字数：-
页数：376
版次：1
开本：16开",http://www.pdfbook.cn/23/10085.html,城通网盘##https://stockbook.ctfile.com/fs/1163421-158731242,,,,http://www.pdfbook.cn/wp-content/uploads/2017/09/020.jpg,,如何阅读一本书
